TITLES,REVIEW,COMMENTS,TIME
LG 스타일러(S5BBP) 후기,"LG 오브제 스타일러 5구 후기입니다.제가 구매한 엘지 오브제 스타일러는 스팀과 바지 칼주름 기능이 포함된 가전이에요.처음에 가전을 구매하려가서 많은 스타일러들을 비교해봤었는데요.거울도어를 가진 스타일러와 끝까지 고민하였으나, 결국 다른 가전들과 색상을 맞춰서 베이지로 구매했어요.거울도어의 경우 사용하다보면 지문이 많이 묻어서 지저분해 보일 수 있다고 하더라고요.​","[['스타일러 고민중인데 알려주셔서 감사합니당ㅎㅎ'], ['스타일러 옷관리도 좋지먀 제습기기능도되서 여름에 한번씩 방에 돌려주면 좋아요ㅎㅎ'], ['스타일러… 저도 꼭 사고싶은 품목이예요!! 부럽습니다 ㅎㅎ'], ['스타일러 호텔에서 써 보았는데, 쓰는 이유가 다 있더라구요~ 현실에서는 꼭 사고 싶은 품목입니다!!!'], ['미세먼지도 심해서 스타일러 넘 좋은거 같아요~! 잘 구매하셨네용'], ['스타일러 저도 갖고픈데~ 넘 이쁘네욥 ㅠㅎㅎ'], ['스타일러가 칼각이라면서요 넘 갖고파여']]",2022.08.20. 21:10
Lg 스타일러 모델명 : s3wfs 후기올려료,제품명 : 스타일러제조사 : LG모델명 : s3wfs​안녕하세요 스타일러 후기 올려볼려고 해요 ㅎ,"[['스타일러 좋아보이네여: 저도 무조건 구매 물품인데 ㅋ'], ['저도 신혼집에 스타일러(에어드레서) 두는 게 로망이었는데 친구들이 먼저 결혼선물로 스타일러 같은 거 어떠냐면서 선물해준다고 해서 넘 고맙고 행복해요~ 삼성 에어드레서 생각 중이었는데 쓰니님 후기글 보니까 스타일러도 좋아보여서 고민되네요..'], ['스타일러 확실히 좋은거같아요! 저도 구매목록중 하나에요~'], ['에어드레서랑 스타일러랑 무한 고민중ㅠㅠㅋㅋㅋㅋ글보니 스타일러도 넘넘 좋아보여요'], ['우와 주름까지 잡을 수있다니 ㅎㅎ 편리하네요 ㅎㅎ'], ['저도 스타일러 구매했는데 좋더라구요.요즘은 장마철이라 제습기로 쓰고 있습니다 ㅋㅋ'], ['저도 스타일러사용중인데 너무 좋아요! 필수템!'], ['스타일러가 글케 좋다고 하던데 부럽습니다!'], ['저도 3벌용으로 사야겠네용 좋을거같아여'], ['저도 스타일러 샀는데 아직 한 번도 안 써봤네요 ㅎㅎ 내일 제습기능 써봐야겠아요']]",2022.08.18. 01:00
다이슨 에어랩 멀티 스타일러 구입했어요,【매장명】  다이슨 뷰티 랩 사운즈 한남【위치】  용산구 한남동 【브랜드】  다이슨【상품명】  에어랩 멀티 스타일러【가격】  699000【구입날짜】  08.08【사이즈리뷰】  【당일 매장영수증】,"[['우왕 유니콘 네이비 잡으셨네요 🦄 축하드려용'], ['감사해요!!'], ['혹시 롱 재고 있을까용??'], ['니켈 컬러로 롱 있다고 들었어요'], ['블루가 젤루다가 이뿌다요🥰👍저는 기존 레드쓰고 있어서 이번에 편리하게 되서 좋은거 같어요!'], ['괜히 색상 고민했나봐요 ㅎㅎㅎ뽕빠지게 쓰고 싶어요'], ['저 슈퍼소닉 이 컬런데 진짜 이뽀요~'], ['진짜 컬러 너무 잘 뽑았어요 케이스랑 찰떡'], ['컴플리트쓰는데 멀티로 갈아타고 싶어요~~ 진짜 이쁘네요~~'], ['안 바꿔도 되어서 그건 편할거 같아요'], ['색깔 넘 이쁘네요~~ 저도 컴플리트 쓴느데~~'], ['색깔 너무 잘 나왔어요'], ['이 컬러 너무 고급스럽고 이쁘네요 핑크랑 레드만 있는 줄 알았는데 고민 한번 들어가 봐야겠습니다.😍'], ['레드는 못 봤어여~ 공홈에서 다시 보고 가세요~~~예약 필수( 예약 힘들어여ㅠ)'], ['영롱 그자체네요...🤍🤍 저도 기본만 쓰구 잇는데 후기 넘넘 궁금해요!!'], ['똥손이라 걱정이 되지만 거기서 배운대로 해볼게요'], ['전 푸시아 잘 쓰고 있는데 색이 진짜 예쁘네요']]",2022.08.08. 14:03
LG 전자 오브제 스타일러 S5GFO 사용후기,"요즘 필수 가전으로 많이 언급되는 스타일러. 살지 말지 고민하는 분들 많으실텐데요, 저도 구매하기전에 고민했었는데 1년 가까이 아주 유용하게 사용하고 있어요.","[['저도 올해말에 큰집으로 이사하면 꼭 스타일러 사려구요~~!!  넘 갖고싶어요 :)'], ['스타일러는 꼭 사야겠군요!'], ['저도 오브제 스타일러 샀어요ㅎㅎ 너무 편하고 좋으네요'], ['그와중에 인형은 왜케 귀엽나요?ㅎㅎㅎ'], ['오브제 스타일러 사고싶어서 후기찾아보는중이였는뎅, 좋네요ㅠㅠ'], ['스타일러 진짜 한번 써보고싶어요'], ['와ㅠㅠ저도 고민하다가 샀는데 엄청 유용하네요!!']]",2022.08.17. 14:52
LG전자 스타일러(S5ROC) 후기입니다.,"솔직히 저는 스타일러를 왜 사야하는지 모르는 사람 중의 한명이었습니다. 아니 그냥 옷은 빨거나 햇빛에 말리면 되지 뭐하러 굳이 스타일러를 사는거지 ?? 라고 생각했었는데요. 배우자의 강력한 주장으로 스타일러를 사고 난 후에 제 생각을 바꾸게 되었습니다. 왜 이렇게 편한걸 이제야 샀지 ?? 라구요.​스타일러를 언제 쓰지 라고 생각했는데 생각보다 쓸 경우가 자주 생기더라구요. 결혼식에 입었던 양복, 한복은 당연하고 조금 여러번 입었던 옷이라든지 관리가 필요한 옷들은 스타일러로 직행해서 깔끔하게 관리할 수 있었습니다.​제일 먼저 저희가 겨울에 입던 롱패딩을 한번 돌려봤었는데요. 드라이를 하지 않았는데도 뽀송뽀송 새 옷마냥 잘 관리가 된 것을 확인할 수 있었습니다. 스타일러의 원리가 고속으로 흔들면서 옷에 묻은 먼지를 털어주고 고온의 스팀으로 살균 및 옷의 관리를 해준다고 하던데 어떤 느낌인지 바로 알 수 있었습니다.​그 이후에는 양복, 원피스, 실크 소재의 한복 등 다양한 옷들을 다 넣어서 돌려봤는데 정말 좋더라구요. 냄새가 나던 옷들도 뽀송뽀송해지고 구겨졌던 옷에 다림질도 잘 되는걸 보고 잘 샀다고 다시 한 번 생각하게 되었습니다.​스타일러를 밤에 돌리면 절대 안된다고 하던데 생각보다 소음도 별로 없어서 참 좋았습니다. 스타일러 정말 사길 잘했어요.​","[['오 스타일러 소음이 별로없나보네요 ㅎㅎ'], ['스타일러 짱짱하네요'], ['http://m.site.naver.com/0XP78""다리미질 No!, 전기세 걱정 No!핫아이템 줍줍하세요""'], ['스타일러 고민 중인데 ㅠ 괜찮다는 후기 보니까 더더 사고싶네요 ㅎ'], ['저도 스타일러를 안써봐서 엄청 고민했는데 다들 쓰시는 분들이 좋다고 하는 걸 보고 고민중입니다!'], ['저도 사서 쓰는데 이거 안샀음 어쩔까 싶었죠 ㅋㅋ'], ['스타일러 한번도 안써봐서 모르겠는데! 엄청 좋은가 보네요ㅎㅎㅎ참고할게요'], ['오 생각보다 스타일러 소음이 안심한가보네요']]",2022.07.29. 08:54
LG 스타일러(S5GF0) 사용 후기 :),"LG 스타일러 S5GF0모델 사용 후기남겨보아요요즘 제가 제일 구매하기 잘했다고 생각하는 제품이에요!정말 가지고 싶기도 했고, 요즘 위생살균이 정말 중요한 터라 생각하고 구매 해보았어요!안에 옷걸이도 태에 맞게 둥근 옷걸이로 구비되어있고, 황사나 미세먼지도 제거 가능하다 하고 옷별로 맞춤 서비스가 되더라구요저는 이제 다가오는 가을에 앞서 입을 니트들을 따로 돌려 보려고 해요또, 더 추워지면 패딩을 입어야하는데 패딩 세탁소에 맡겨도 좋지만 세탁소 가기 번거로울 경우 대비해서 스타일러 이용해서 돌려보려구요 ㅋㅋㅋㅋ이미 여러 옷을 돌려보았는데 확실히 옷이 뽀송뽀송하고 냄새가 너무 좋아요가끔 알림이 울리면 물을 빼줘야 하는 귀찮음이 있지만 그래도 사길 너무 잘했고 강력 추천해요 !예를들어 고깃집 갔을때도 이제는 전혀 걱정없이 먹고 집에와서 바로 돌리는 습관이 생겼어요 ㅎㅎ 옷이 너무 뽀송해서 좋습니다​","[['스타일러 너무 좋아욯ㅎㅎ 날씨가 추워지면 더 잘쓰는거 같아요!'], ['스타일러 저도 갖고싶은데~ 넘 좋아보여요ㅠㅎㅎ!!'], ['스타일러 쓰니까 정말 옷 관리하는게 간편해진것 같아요 ㅎㅎ'], ['스타일러 후기 잘보고갑니다 !']]",2022.08.31. 15:09
스피도프리스타일러26,"●연락처/계좌정보 ​(채팅으로)구매자는 판매자의 전화번호를 꼭 받으세요. ​●판매 제품 정보  ​1.제품명 :  스피도 프리스타일러2.사이즈/색상 :  26.  핑크3.시착횟수(정직하게) : 14.입수횟수(정직하게) :  5.구매처 :  영국스피도6.구매가격 :  40파운드 (한화63,000)7.판매가격 : 50,000(배송비 포함) →일괄 판매시 상품가격은 각각 표기 바랍니다. 8.판매방법 : 댓글순으로 판매 →무조건 댓글 우선순이며, 채팅,쪽지,전화,입금 순서는 인정안됨 9.상품설명/중요정보 : 너무작아서 입을수없음. 28로 교환하실분있으면 환영합니다10.제품사진(실사) :","[['저요'], ['쳇드릴께요'], ['혹시나 줄…'], ['고래님계 판매완료 입니다 감사합니다']]",2022.08.25. 13:16
신혼집 가전소개#3 - 다이슨 에어랩 스타일러 볼륨 앤 쉐이프 HS-01 소개합니다~,안녕하세요 저희 신혼집 가전 소개를 할게요~ 다이슨 에어랩 스타일러 볼륨 앤 쉐이프 예요저는 머리가 길지만  알아주는 똥손이라서 일반 고데기로도 스타일링 하는게 쉽지가 않았어요유튜브로도 보는데도 거진 다이슨 에어랩으로 스타일링을 하는 동영상이 많아 고민 끝에 제 자신에게 선물을 하기로 마음 먹고 다이슨 에어랩 스타일러 볼룸 앤 쉐이프를 구매했어요케이스가 따로 왔지만 저는 편히 쓰기 위에 거치대를 별도로 구매해서 화장대 두고 쓰고 있어요다이슨 에어랩 스타일러 볼륨 앤 쉐이프는 총 4개 헤드를 교체해서 사용 할 수 있어요헤드를 홈에 맞춰서 끼우면 되고 제거 할 때는 잠금버튼을 아래로 내려서 언락 상태에서 빼주면 되요저는 저녁에 머리를 감는데요 머리를 감고 나서 프리스타일링 드라이어로 머리를 말리고 소프트 스무딩 브러시로 머리카락을 빗어요아침에 일어나서 출근준비를 할 때는 주로 라운드 볼륨브러시로 간단하게 스타일링을 하고 출근해요약속이 있거나 외출 할 때 주로 30mm 에어랩 배럴을 사용해요똥손이라서 고데기를 하느라 너무 힘들고 스타일링을 포기하고 다녔는데 이제는 단시간에 예쁘게 스타일링을 하고 나갈 수 있어서 편리하고 좋아요​이상 저희 신혼집 가전 후기였습니다~,"[['오이것도 신혼집 화장대 위에 올려두면 좋을거같아요!'], ['전 이미 화장대위에 올려서 쓰고 있다는 ㅎㅎ 여기서 할인받고 샀었어요.https://blog.naver.com/aass9730/222815362985'], ['와 저도 에어랩 써보고싶어용 ㅋㅋㅋ 넘 좋아보이네여'], ['저도 다이슨 에어랩 너무 사고싶어요 ㅠㅠ'], ['안 그래도 저희 언니가 이거 좋아하더라구요ㅋㅋ'], ['저는 다이슨 슈퍼소닉 쓰는데 에어랩 궁금하긴 하네요 ㅋㅋ'], ['저는 에어랩 컴플리트로 쓰고 있어요 ㅎ 에어랩 없이는 스타일링 못해요 이제'], ['다이슨 에어랩 사고 싶네요ㅜ'], ['다이슨으로 스타일링 잘하시는분들 제일 부러우신 분들 ㅠㅠ']]",2022.08.21. 16:50
[신혼집 가전소개] 엘지 스타일러 s5mbp,"겨울이 되면 스타일러 사고싶다 생각했는데, 비싼 가격 때문에 주저하다가 신혼 가전 구매하면서 할인 가격에 구매했어요!​처음에 3벌짜리와 5벌짜리 중에 고민했는데, 다들 무조건 5벌짜리를 사라고 하더라고요~ 크기가 좀 부담됐지만 코트나 패딩 두 사람꺼 넣으려면 5벌로 사길 잘 한것 같아요! ​스타일러 색상에 따라 차이가 정말 컸어요. 성능은 미세한 차이인데 거의 기능차이는 없다고 봐도 무방하다고 합니다. 블랙이 특가였는데 거의 40만원 차이… 그러나 직접 보니 블랙은 정말 별로더라고요 ㅠ. 미스트브라운이 그 다음으로 저렴했는데, 아무래도 옷방에 있으니 미러로 구매하는 게 좋겠다 싶어서 요금 더 추가하고 구매 했어요. 생각보다 지문도 덜 묻고 완전 만족합니다.","[['저두 스타일러 사용하고싶은데, 은근 가격이 부담되더라구요 ㅜㅜ'], ['매일 정장입을때 필수더라구요'], ['http://m.site.naver.com/0XP78""다리미질 No!, 전기세 걱정 No!지금 구매하세요""'], ['매일 양복입는 직종은 스타일러 있음 유용하다 하더라구요'], ['오 스타일러 좋은가요?!'], ['단독으로 사기엔 좀 아깝고… 신혼가전할 때 할인해서 사면 괜찮을 거 같아요~'], ['스타일러!!!! 저도 너무 사고싶은데ㅠㅠㅠ 부러워용!!'], ['저도 사고싶은 가전 중에 하나인데 예랑이는 정장이나 코트를 거의 안입어서 고민이네요🤣'], ['맞아요! 스타일러는 무조건 큰거 고르는게 최고래요'], ['진짜 스타일러 겨울에 정말좋아요 코트같은거 냄새!!! 짱짱'], ['스타일러 무조건 사고싶은 가전중 하나예요'], ['스타일러 사려고 계획은하고 있는데 어떨때 써야할지 모르겟네용 ㅋㅋㅋㅋ'], ['겨울에만 좀 쓸거 같아용'], ['저희언니도 뉴발 패딩 엄청 넣어놓고는 그뒤로 잘 안쓴다고...']]",2022.08.02. 20:18
롯백에서 다이슨 에어랩 멀티스타일러 샀어요~,"【매장명】 :  롯데백화점 【브랜드】 :  다이슨【제품명】 :  에어랩 멀티스타일러 【가격】 :  699,000【사이즈 정보】 :  일반【상품이미지 3장】 :","[['구상은 신상이 아른아른하네요 ㅎㅎㅎ'], ['새거 나오고 가격도 많이 올랏네요.'], ['새거도 가격이 오르나보군요 ㄷㄷ\n저도 롱하고 차이점이 클지 궁금..♡'], ['비싼 느낌이라고 생각했는데 신상이네요'], ['가격이..!!!'], ['잔머리 잘되는지 궁금하네용 ㅎㅎ']]",2022.08.30. 01:00
LG의 스타일러 의류 관리기 S5BB 사용후기,"안녕하세요, 제가 신혼집까지 가져온 가구들 중 하나인 스타일러를 소개드리려고 합니다!쓰면서 만족했던 부분이 많아서 그대로 들고 왔어요 ㅎㅎ​저는 출근 1시간 반 전에 일어나기 때문에 일어나면 입을 옷을 넣어서 쾌속 모드로 스타일러를 돌립니다.만약 회식이나 냄새가 많이 나는 음식점에 방문한 날에는 퇴근 후에도 스타일러로 옷을 탈탈 털어줍니다.​구입 시기에는 삼성에어드레스가 없었나 그랬어요... 그래서 LG 스타일러로 하긴했지만 디자인, 기능 활용도에서 결코 뒤쳐지지 않는다고 생각합니닷!​저는 미러형이라 못난 제가 비칠 수 있어서... 옆쪽에서 찍었어요~ 지금도 열심히 우리 신혼집을 제습해주고 있는 착한 친구입니다 ㅎㅎ요새 특히 많이 사용하고 있는 건조 기능! 저희 집 스타일러는 드레스룸에 있는데, 스타일러를 오픈 상태로 두고, 건조를 하면 드레스룸이 뽀송뽀송해져요!!!아로마시트까지 넣어놓으면 좋은 향까지 방안에 가득해져요드레스룸 특유에 옷 냄새가 싹! 사라집니다.​동작 후에는 바닥쪽 물버림통을 버려주어야 해요~왼쪽은 물버림통, 오른쪽은 보충해주는 통입니다.동작 전에 보충해주는 통에 물을 넣어주어야 합니다.헷갈리시면 통을 뺀 후에 보면 버리는 쪽은 물 나오는 배출구가 있으니까 참고 부탁드려요~통 사이에는 청소 도구와 시트를 보관할 수 있는 공간이 있습니다. ​","[['스타일러 요즘 필수템인것 같아요ㅎㅎ 사용하는분들 다 좋다고 해서 저도 구매합니다~!'], ['스타일러 진짜 편할 것 같아요! 다들 큰 사이즈를 추천하더라구요'], ['스타일러 선택이라 생각햇는데 후기보니 사고싶에영'], ['저희집거랑 똑같네요 정장입는 집은 꼭 필요해요'], ['너무 좋아보이네요~편해보여요!'], ['스타일러 진짜 좋아요ㅠㅠ요즘 자주 쓰는중이에요'], ['아로마시트 넣는것도 좋네요~! 스타일러 사구파여ㅎㅎ']]",2022.06.27. 23:14
[우리집 가전소개] LG 오브제 스타일러 (S5BBP),​안녕하세요오브제 스타일러를 소개합니다.​가전을 보러갔을때 처음부터 스타일러를 사야겠다고생각했는데 예랑이는 필요성이 없을 것 같다고했는데지금은 저보다 활용도 잘하고 좋아합니다.​저희가 구입한 컬러는 미스티베이지입니다.집안 분위기가 하얀편이라 미스트 그린은 튈것같아베이지로 선택했는데 깔끔하고 좋아요.​3구랑 5구가 있는데 가을 겨울이 되면 코트나 니트를 많이 입어서이용이 많아질 것같아 5구로 구입했습니다.​,"[['스타일러 정말 고민하다가 구매안했는데, 후기 보니 구매안한게 아쉽네요'], ['스타일러가 옷만 돌리는게 아니아 방 제습도 되서 너무 좋더라구요'], ['오 엘지 오브제 후기 감사해요용~ 진짜 고민되더라구오~ ㅠ'], ['스타일러 있으면 정말 좋을거 같아요 ㅎㅎ'], ['저도 같은걸로 사서 오늘 왔어요~반갑네요◡̈'], ['가전은 역시 엘지죠! 3벌짜리보단 돈 더써서 5벌짜리가 더 나은거같아요!'], ['저도 샀는데 잘 안쓰게 되던뎅… 제습으로라도 써야겠네요'], ['가전이 예뻐서 자동으로 인테리어 효과도 있겠어요 ㅎㅎ'], ['확실히 오브제가 고급스럽긴하네요!!'], ['저희도 스타일러 쓰고 있는데 쓰면 확실히 좋지만 생각보다 그렇게 많이 쓰이지는 않는 것 같아요!그래도 필수 가전이라 장만했습니다!'], ['스타일러 살까말까 정말 망설여지는 제품이에요 ㅜ 또 보니 사고싶어지네요 ㅋㅋ'], ['스타일러 자주 사용할까요?? 흠..저도 고민중이긴한데 디자인 보면 완전 인테리어용인것 같기도..근데 필요하긴 할것 같아요.ㅎㅎ여자친구한테 졸라봐야 겠어요 ㅎㅎ']]",2022.07.27. 21:38
우리 신혼집 가전 소개 - LG전자 스타일러 오브제컬렉션 S5GFO,안녕하세요 12월 예신입니다~저희 신혼집 스타일러를 공개할게요!LG전자에서 구입한 스타일러 S5GFO 입니다!,"[['요즘 나오는 스타일러는 소음 없나요? 저도 스타일러 사려고 했다가 쿵쾅거리는 작동소리 때문에 패스했었는데..ㅠㅠ'], ['저도 스타일러는 꼭 사려고 했는데 잘사셨네요 ㅎㅎ'], ['와~ 요즘 같은 날씨에 스타일러 넘 좋을 것 같아요 ㅎㅎ'], ['오 저는 고민중이였는데 만족하신다니 다행이에요 ㅎㅎ'], ['스타일러 요즘 필수템이지용'], ['저도 스타일러를 고를지 말지 정말 많이 고민했는데 그 정도로 옷에 진심이 아닌 편이라 넘겼었어요. 막상 예쁜 오브제 스타일 사진을 보니 다시 마음이 흔들리네용 ㅎㅎㅎㅎㅎ'], ['요즘 LG가전을 보면 그린이 진짜 많은거 같아요ㅎㅎ 촌스러운 그린이 아닌 딥그린으로 너무 이쁜 색상이죠 ㅎㅎ스타일러는 아직까지 살지 말지 고민중인 가전중 하나인데 이렇게 또 보니 확 사고 싶네요 ㅎㅎ'], ['스타일러 요즘 갖고싶었는데 좋아보이네요~~!!ㅎ']]",2022.07.07. 20:41
"우리 신혼집 가전소개-다이슨 에어랩 멀티 스타일러, HS05 394934-01",저희집 다이슨 에어랩을 소개합니다~다이슨의 위엄에 대해 전혀 모르고 살다가 지인이 '다이슨 쓰다가 안 쓰니까 머릿결이 더 상한다'고 한 말을 들었어요!그래서 뭐 드라이기까지 좋은 게 따로 있는 건가? 생각하다가그 후에 다이슨의 가격이나 기능에 알고 나니.. 궁금은 하더라구요!그러던 차에 마침! 다이슨 에어랩 스타일러 컴플리트를 어머니가 선물해주셨어요~딱 처음 쓰는 순간 이건 그냥 드라이기가 아니다. 스마트가전이다! 하는 생각이 들었어요ㅋㅋ제가 이런 걸 잘 안 써봐서 유난일 수도 있지만..ㅋㅋ​,"[['저 진짜 다이슨 에어랩 너무 사고 싶은데, 금액이 왜 자꾸만 오르는지;;'], ['어후 저도 진짜 갖고 싶네요..'], ['http://m.site.naver.com/10wLG""머릿결 손상없음+다양한 스타일링+팔안아픔지금 바로 구매하시죠""'], ['다이슨 에어랩 여기서 할인정보보고 더 오를까봐 그냥 질러버렸어요.https://blog.naver.com/aass9730/222815362985'], ['저는 에어랩도 그랗고 드라이기도 넘 가지고 싶어용'], ['다이슨 너무 좋은거같아요 저고 사고프네여 ㅠㅠ'], ['저도저도!!!이거 큰맘먹고 선물햇어요~저한테ㅋㅋ평소같음 드라이를, 5~60씩이나???말도안된다,이해못하네하던 저엿는데..홈쇼핑보다 문득 그냥 저한테 사주고싶더라구요ㅋㅋ근데~와~~~진짜!!!!역시..괜히쓸리없구나 사람 홀리네요ㅋ신혼집에 먼저 갖다둿는데(합가전) 인형놀이, 공주놀이하고싶어져요ㅋㅋ휴게소 핸드드라이마냥? (적절한 비유를찾지못해..) 정말강해요.저 제손으로 드라이에 머리말린게 몇년만인지ㅋ'], ['다이슨저도 사고싶어요!부럽ㅋㅋ'], ['저도 다이슨 계속 살까 말까 백만 번쯤 고민하고 있네요'], ['다이슨 에어랩쓰구나서 머릿결좋아보인단 소리도 많이듣고 너무좋아요!ㅎㅎ'], ['다이슨은 어디서 사요?']]",2022.08.17. 17:42
