TITLES,REVIEW,COMMENTS,TIME
스타일러 실내제습 기능 추천,"지난 번에 리뷰 올린 전용 제습기와 함께 에너지소모량을 1주 이상 체크해보니 스타일러 실내제습 기능도 의외로 제습효율이 좋네요.​설명서에는 제습용량 10L급이라하고2시간, 4시간 단위로 설정할 수 있는데4시간 되기 전에 물통이 다 차버림.물통이 좀 작은게 단점이지만 제습효율은 엘지 전용제습기 최신형 모델과 맞먹는듯.","[['오 저희집도 기능이 있네요. 드레스룸에 제습기 필요했는데 안사도 되겠어요.'], ['방문 열어두면 드레스룸 주변공간까지 아주 유용해요'], ['실내제습기능이면 저렇게 문열어두구 사용하는거에요?'], ['네. 문을 45도 이상 열어둬야 주변 실내공간의 습기까지 빨아들여요.'], ['문 닫고 실내제습 돌리니 안된다고 알림음 나와요~'], ['있는데 참 안써지네요ㅎㅎㅎㅎ요즘 이렇게 사용 많이 하시는지 주위에서 추천을 많이하네요..써봐야겠어용~🤗'], ['저도 작년까진 은근 미심쩍어서 안썼다지요 ㅎ'], ['저희집도 오늘 돌려봐야 겠어요^^'], ['스타일러 기본코스보다 전기를 훨 적게 먹어요.\n자주 돌려주세요^^'], ['저도 제습기능 써봐야겠네요\n베개도 저렇게 말리는군요~~\n또 하나 배우네요^^'], ['이불도 일단 크게 반 접고서 다시 지그재그로 세번 접어서 집게에 찝어 널면된답니다.\n저는 네번 접어 넣으려고 바지집게를 하나 더 샀어요.'], ['안그래도 저도 [LG ThinQ] 어플 사용중에 알림 뜨길래 주말부터 써보는데, 제습기보다 습도가 빨리 떨어지는 듯 하더라고요~ \n물통이 작아서 그런가 제습 기능 힘이 세어서 그런가 물통에 물도 확확 차고요.\n지난 주말에는 제습기도 거의 24시간 틀었는데.. 스타일러 제습 되는거 보면서 올여름 전기세 걱정되더라고요 ㅎㅎㅎ'], ['제가 제습기는 수년간 여러제품 거쳐서 지금은 엘지 최신형 쓰고있는데 최신모델은 엘지가 제습효율이 가장 높아요(전용 제습기끼리 비교). 근데 스타일러가 엘지 최신 제습기와 별 차이없이 효율이 나오더라구요.\n기존에 쓰던거 주변에 다 나눠주고 엘지껄로 전용을 하나 더 살까했는데 그냥 스타일러를 잘 쓰기로했어요^^'], ['참 씽큐앱에서 에너지모니터링이나 사용이력 보심 전력소비량 얼마나 나왔나요?\n저는 지난 어제 기준으로 \n4시간에 895Wh 쓴 걸로 나오네요.\n(지난주 폭우 쏟아진 날은 1Kw)\n만수는 2시간30분 즈음이었던거 같아요 \n아, 5벌짜리고요.\n'], ['저 스타일러로 실내제습 돌린건 기본설정 2시간에서 1시간만 돌리다 중간에 꺼서 그런지 기록에 안 남았네요 ;;;'], ['아 맞아요.\n중간에 물통 비우고 다시 끼우더라도 코스를 끝까지 실행해야 사용이력에 남더라구요.\n혹시 나중에라도 이력보이면 부탁드릴게요^^'], ['저도 30평대 집에 거실에 5벌짜리 스타일러(쓰시는거 하고 같은 크기인 듯 싶어요) 있는데, 아침에 환기 후 2시간 풀로 돌리니 454 나오네요. \n물통은 통 보이는 창으로 2센치 조금 못 되게 보이는 거 확인하고 시작했는데, 2시간 끝나기 11분 전에 멈추어서 비웠어요. 실내 습도에 따라 비우는 정도가 다를 듯 하네요~'], ['전력량은 비슷하게 나오네요~\n저희도 2시간 코스는 425~505kw 사이로 나오더라구요. \n저흰 드레스룸에 스타일러가 있고 거실에 전용 제습기도 켜둔 상태였는데\n창문에 강제환기 시스템이 있어서 바깥공기가 24시간 계속 조금씩 들어오는 상태라 만수는 더 빨랐나봐요.\n폭우 때 빗소리 듣느라 창문 열었던 날은 전기도 좀 더 먹고 역시 만수도 좀 더 빠르구요.'], ['저두 첨부터 제습기능이 있어서 겸사겸사구입했어요^^\n'], ['저는 첨엔 문열고 실내제습하는게 맘에 안들어서 담엔 문닫고도 가능한 업그레이드 버전이 나오지않을까하고 몇년을 기다렸다지요 ㅎ\n근데 이번에 써보니 그 부분을 잊을만큼 성능이 좋네요.'], ['저도 기능이 있어서 함 해볼까 생각만 했었어요. 보송하다니\n해봐야 겠군요'], ['물통이 좀 작아서 자주 비워줘야하지만 \n엘지 전용제습기와 효율이 비슷하게 나오니 아주 기특합니다.']]",2022.06.27. 14:54
우리 신혼집 가전소개-LG스타일러 (S5BB)를 소개합니다~!,"안녕하세요~신혼가전 구입하실 때 스타일러를 꼭 사야할지말지 고민하시는 분들 꽤 있으실거같은데요~제가 구입하여 사용한 후기 보고 결정하심 도움이되지 않을까 싶습니다!​저희는 LG스타일러 구입했고요, 5구짜리(5벌을 걸 수 있는 모델)로 구입했습니다~​","[['스타일러ㅠㅠ진짜 결혼할때 가지고싶었는데ㅜㅜ좁은집으로 갈 예정이라 포기했어요'], ['스타일러 있음 넘 좋을거 같아용ㅎㅎㅎ'], ['스타일러 있으면 진짜 편하고 좋죵ㅎㅎㅎ'], ['LG 스타일러는 무조건 필수입니다!! 삼성으로 다 했지만 스타일러는 엘지로! ㅎㅎ']]",2022.06.17. 09:21
lg트롬 스타일러라는 중독에 빠지다,lg트롬 스타일러라는 중독에 빠지다,"[['lg트롬 스타일러 정보 감사해요'], ['넵!'], ['lg트롬 스타일러 알아가요~^ㅡ^'], ['감사해요!'], ['lg트롬 스타일러 글 잘봤어요'], ['감사합니다!'], ['이번에 lg트롬 스타일러 알아보는데 좋은 정보 얻어가네요~'], ['다행이에요!'], ['lg트롬 스타일러 정보가 유용하구먼유!'], ['유용하다니 다행이네요!']]",2022.08.29. 13:28
다이슨 에어랩 스타일러 볼륨 앤 쉐이프 헤어드라이기(모델명 : HS-01)후기 올려요 ㅎㅎ,제품명 :  에어랩 스타킬러 볼륨 앤 쉐이프제조사 : 다이슨모델명 : HS-01​다이슨의 좋은 후기로 구매를 해볼까 말까 고민 참 많이했어요 ㅎ 저렴한 드라이기만 사용하다가 비싼 헤어 드라이기를 사려고 하니 고민 많이 했어요 ㅠ​다이슨 에어랩 제품군도 다양해서 고민하다가 볼륨 앤 쉐이프로 결정 했어요 ㅎ​컴플리트롱은 긴머리를 사용할 수 있는 롱배럴이 있다하여 고민하다가 그냥 가성비로 볼륨 앤 쉐이프로 셀렉했어요 ㅎ,"[['ㅎㅎㅎ저도 회사 동료가 몇년전에 사서 너무 잘 쓰고 있다고 비싼 값한다고 했거든요. 처음엔 반신반의했다가 사서 써보고 여기저기 추천중이예요. 저는 여행중에도 가지고 다녀요 짱 추천'], ['저도 갖고 싶네요~'], ['다이슨 너무 좋을거같아요 궁금해여'], ['다이슨 너무 좋아요 여행갈때도 필수품입니다 ㅎㅎ'], ['다이슨 지금 쓰고있는데요! 완전 좋아요 머리말릴때 :)'], ['다이슨 너무 만족스러워요! 특히 저 정수기 볼륨 살릴때 똥손이라 보통 드라이기로는 못하거든요 다이슨 사고나서 신세계 엿어용'], ['다이슨 너무 좋아보이네요 저도 꼭 하나 장만해야겠어요!'], ['다이슨 너무 유용하고 편하다고 하던데 ㅋㅋㅋ 저도 갖고 싶네요~~'], ['저도 있는데 파마를 해서 못쓰고 있어서 아쉬워요ㅠㅠ'], ['이거 저휘언니도 선물받앗는데 좋다고 하더라구요'], ['다이슨있으면 정말 삶의질이 올라가나요 ㅠㅠ 갖고싶어요 ㅠㅠ'], ['다이슨 진짜 안샀으면 후회할뻔했어요 ㅎㅎ 엄청 잘 쓰구있어요!'], ['으악 갖고파요ㅠㅠ 얼마주고사셨나용?ㅜㅜ']]",2022.08.29. 19:24
다이슨 에어랩 스타일러 컴플리트 롱 사용후기,안녕하세요 롱롱스s 입니다 다이슨 에어랩 컴플리트 롱 너무 사고싶어서 공식 홈페이지를 몇주간 재입고 신청하고 수십번 기다렸으나 입고알람오지 않아서 집에서 가까운 롯데백화점에 완불예약을 하고1달 넘게 기다린 끝에 받은​​,"[['마자요 다이슨 너무 좋아요 빨리 마르고 컬도 잘되고용'], ['저는 여기서 되게 싸게 구입했어요~ 한 번 참고해보세요!https://me2.kr/5r9uk'], ['여기 지금 다이슨에어랩 할인중이네요http://m.site.naver.com/0WSk6'], ['저도 컬 너무 잘되서 만족중 ㅠㅠ 저는 살 때 여기서 세일정보보고 샀었어요.https://blog.naver.com/aass9730/222815362985'], ['완전 구하기 힘들다던데 ㅠㅠ비싼만큼 다들 만족하나봐용'], ['안그래도 요고 사고싶었는데 더 사고싶어지네요 ㅎㅎ'], ['크으으 저도 있습니다!!! 귀한녀석이지요 너무비싸다싶다가도 쓰다보면 잘산제품'], ['저도 이거 정말 구하고 싶은데..축하드려요!!'], ['저도 롱배럴 쓰고있는데 긴머리엔 확실히 편해요 ㅎㅎㅎ'], ['뽕 띄우고 머리 말리는것만해도 좋더라구요 ㅎㅎ'], ['예신이 사줬는데 너무 잘사용하더라고요!'], ['에어랩이 그렇게 좋다면서요?? 넘 궁금해용ㅎㅎ'], ['진짜 넘 편해요~ 이전에 사놨던 고데기 망치고데기 다 팔아버렸어요'], ['헛 저도 장만하고 싶네요 넘 좋죠 ㅠㅠ'], ['제가 가장 잘샀다고 생각하는 물건입니다 영업만 3년째 하고 있구요 ㅋㅋㅋ 너무너무너~~무 편하고 좋아요'], ['아직도 전 못구해서 발만 동동...'], ['작년에 에어랩 사서 너무너무 잘 쓰고 있어요!ㅎㅎ 비싼 값한다는게 다이슨인듯 ㅎㅎ'], ['다이슨 에어랩거치대랑 투명케이스구매처알수있을까용?']]",2022.07.03. 01:06
"LG OLEDTV, 워시타워, 스타일러 새상품 일괄판매합니다","​​워시타워, 티비, 스타일러 미개봉새제품 일괄판매합니다​1. TV 65인치 OLED  65A2KNA  (LG 22년제품)​2. LG전자 트롬 워시타워 W20KDM 크롬블랙 (건조기 +세탁기 일체이며 세탁기 25KG +건조기 20KG)- 22년6월제품​3. 스타일러 오브제 컬렉션 S3BOF 미스트 베이지 ​조합원입주선물로 미개봉 새제품입니다현재 안터넷 최저가 티비200 워시타워310 스타일러130 인데 총450에 일괄 팝니다구매자님 주소 받아 업체에서 직접 설치 배송 까지 다 해드립니다 (보증/설치) ​일괄구매로만 판매하는 점 양해 부탁드리며 ,​배송은 새제품으로 9월 부터 원하시는 날짜로 진행 될 예정입니다. (LG전문기사) ​중고가 아닌 새 제품을 LG기사분께서 직접설치합니다​세가지 가전 일괄 450만원에 판매합니다",[],2022.08.21. 23:50
은근 유용한 오브제 스타일러S5DFO,"저희집 스타일러를 소개합니다 ! 사실 스타일러는 살생각이 1도 없었어요하지만 정말 많은 신부님이 그러하듯,,, 묶음 할인의 유혹을 이겨내지 못하고 스타일러를 구매해버렸습니다ㅋㅋㅋㅋㅋㅋㅋ","[['스타일러 넘 좋죠!!전 한번 경험해보고가전 구매할때 무조건 넣을꺼라고ㅋㅋ베이지샀는데 넘 예뻐요ㅎㅎ'], ['와 색 너무 이뻐요..! 고급지네요 !! 저희는 사복입고 출퇴근해서 스타일러 안쓸거라 생각했는데...  코로나때 요긴하게 쓰고 미세먼지 심한날 쓰니까 좋더라구요!'], ['와인컬러 너무 이쁜데요! 역시 색상이랑 디자인은 오브제가 최고로 잘 나오는 것 같아요'], ['스타일러 컬러가 너무 이쁘네요 고생하셨어요'], ['스타일러 유용하져!ㅎㅎ컬러도 이쁘네여~']]",2022.05.26. 22:46
LG 스타일러 S3BER 후기입니다,LG 스타일러를 구입한지는 몇년이 되었는데 이제서야 후기를 작성합니다결혼 전에도 옷 욕심이 엄청 많아 옷을 관리하는데만 해도 어마어마한 비용이 들었습니다드라이클리닝 비용이 만만치 않은건 다들 알고 계실거라고 생각됩니다그래서 남편도 꼭 필수 가전으로 스타일러를 구매하자고 하였고 그걸 전해들은 시부모님께서 선물을 해주셨습니다제 옷은 니트류와 원피스가 많은데요 아무래도 가격대가 있는 캐시미어 혹은 울로 구성되어 있는 천연섬유라서 세탁하는데 더욱 신경을 썼습니다하지만 스타일러를 구매한 이후로 진짜 많은 비용이 절약됐습니다스타일러에 고급의류 기능에 울/니트 코스를 돌리면 아무리 예민한 소재의 옷이라도 걱정 없이 스팀/살균 하실 수 있습니다정말 구매하길 잘했다고 백번은 생각하는 가전이에요없어도 되는 가전이지만 있으면 실용성 100%라고 생각합니다설치해 주신 기사님께 여쭤보니 한번 돌릴 때 100원 정도의 전기세가 나간다고 하는데 이 정도면 정말 최고지 않나요?다들 스타일러 꼭!! 구매하세요!!​,"[['스타일러 살까말까 고민중인데 좋은 후기 감사합니다!'], ['한번 돌릴 때 전기세가 100원 밖에 안 나간다니 너무 효율적이네요'], ['오 스타일러를 다시 고민해봐야겠네요!'], ['3구 스타일러 사셨네요~~ 스타일러 진짜 좋죠 ㅠㅠ.. 코트나 패딩류에 쓰기 너무 좋아요!!'], ['스타일러 딱히 필요없을까봐 뺏는데 ㅠㅠ 넣을걸 그랫나버니여'], ['스타일러이쁘네요 축하드립니딘']]",2022.05.11. 15:39
"(새제품판매) LG  65인치 OLED TV, LG 트롬 워시타워, LG 스타일러 오브제 컬렉션 저렴히판매합니다.","판매자는 아래 사항을 꼭 기입해주세요. ​1. 사는 동: 매탄동​2. 환불 여부: 환불불가​3. 거래 우선 순위(입금순/채팅순/댓글순/내마음가는대로): 입금순​4. 거래 방법: lg 기사님 직접배송 설치​5. 판매 물건, 상태, 가격:미개봉 lg 가전제품 판매합니다.","[['네고가능한가요'], ['20만원내렸습니다.']]",2022.08.22. 15:45
LG스타일러 S5BBP 후기입니다~~,"안녕하세요~ 엘지 스타일러 후기입니당오브제라인이로 가전을 맞추기로하고 견적을 여러곳 받아보았는데오브제가 달마다 색깔로 프로모션 들어가는것들이 있더라구요~예를들면 워시타워는 그린흰, 스타일러는 브라운 들이 몇십만원 정도 싸게 살수 있다고 해요~제가 구매할때는 스타일러 브라운 구형이 세일제품이라 브라운도 괜찮은거같아서 고민하다가마지막에 그래도 우리가 처음 사고싶었던색으로 맞추자! 해서 베이지로 다 맞추게 되었는데세일하는 제품들로 했으면 후회했을거같아요 가전 볼때마다 이뻐서 기분이 좋아져요 ㅎㅎ몇백 차이 아니니 꼭 가전은 하고싶은걸로 하세용!!이 스타일러는 신형으로 외관에 글씨가 안보이고 터치를 하면 글씨가 나와요~ 구형은 글씨가 적혀있구요제품도 속에 미세한 차이고 크게 차이 없다고 하더라구요확실히 스타일러가 있으니까 정장류나 밖에 오래있다 온 날은 미세먼지 관리하기도 편하고계절지난 이불들도 이제 슬슬 돌려보려구요!!진동이랑 소음이 심하다고 하는 분들도 계셔서 고민했는데 전혀 신경쓰일 정도가 아니였어요 ㅎㅎ 추천드립니당!!","[['스타일러는 정말 필수죠!'], ['스타일러 좋아요!특히 외투!'], ['스타일러 필수죠 ㅎㅎ 저희도 샀는데 후회 없습니다! 자주는 안쓰지만요 ㅎㅎ'], ['스타일러는 정말 겨울때 파카나 코트 때문에라도 강추템인듯요'], ['스타일러 신형이라 더 이쁘네요 ㅎㅎ'], ['저는 그린색할까 베이지핼까 고민했는데 역시!! 베이지 가야겠네요'], ['저랑같은거 사셨네요 너무예뻐요ㅠㅠㅠ'], ['저는 브라운 했는데 브라운도 영롱해용'], ['스타일러 많이 좋나요?? 고민중인데 ㅜ 겨울만 쓸까봐여…'], ['겨울에 유독 많이 사용할거같긴해요 ㅎㅎ 지금도 간간히 잘쓰고있습니당'], ['스타일러 저도 사고싶은데 ㅜㅜ 고민중에 있어요 ㅎㅎ 축하드립니다:)'], ['스타일러 신혼가전 필수품일까요? 좀 많이 쓰이나요?? 고민입니다 이왕하는거ㅠ 넣어서 견적 받을지'], ['저도 딱 그마음으로 샀어요~ 이왕하는거!! ㅎㅎㅎ 간간히 잘 쓰고있어요 겨울에는 더 많이쓸 것 같아요~ 필수는 아니지만 삶의질을 높여주는 정도?로 느껴져요 ㅎㅎ'], ['저희도 이거 샀는데 ㅎㅎ 후기보니까 더 기대되네요']]",2022.05.26. 20:55
사인유니폼 스타일러 돌려도 되나요?,오늘 오픈트레이닝에서 받은 유니폼이 너무 구겨져서 ㅜㅜ스타일러 돌려도될까요?,"[['저라면 안합니다^^'], ['22222'], ['33333'], ['세탁소에 좀 다려달라하믄 될랑가요?ㅠㅍ'], ['저건 다리미로 직접 다리셔야 합니다. 스팀 다리미도 아니고 그냥 일반 다리미요.'], ['세탁소가 젤 낫지않으려나요?ㅠㅠ'], ['저라면 불안해서 못맡길거 같습니다. 다리미 별로 어렵지 않습니다 ^^'], ['죄송하지만 혹시 유니폼 사이즈가 어떻게 되시나요? 싸인이 꽉차네요! m인데 다 받을 수 있을까요?'], ['저거 xl이긴 합니다 작게작게 잘 해주긴 하더라구요'], ['에공ㅜㅜ 더 큰걸 살걸 그랬나봐요ㅋㅋㅋ'], ['수요일 행사 가시나요?'], ['금요일 오픈트레이닝이랑 팬싸가요!'], ['아!! 진짜 좋아요 잘 다녀오세요!'], ['감사합니당ㅎㅎ 저도 아힝힝님처럼 유니폼 두개 싸인받으려구요! 스타일러 하지마시고 밑에 다른티 대고 다림질 살짝 하셔요'], ['유니폼 마킹 위에 옷 하나 덮고 다림질 맞나요?ㅋㅋ'], ['위에도 덮고 아래도 덮으시죠ㅋㅋㅋ 제 유니폼 보니까 마킹할때 프레스기 누른대로 유니폼 상했더라구요ㅠ'], ['아... 어렵다...ㅜㅠㅋㅋㅋ 이래도 저래도 걱정이네요'], ['그맘 이해합니다ㅜㅠ 저는 어제 빨아서 납작하게 말려뒀는데 가다가 구겨지지 않길바래요,,'], ['국대경기때 사인저지입고 입은날 에어드레서 자주 돌립니다 ㅎㅎ\n변형없어요\n\n그런대 주름피는건 모르겠네요..']]",2022.07.11. 23:25
비달사순에어스타일러,이런종류 스타일러  계속실패네요ㅠ테스트정도  거의새것 택포,"[['구매원합니다'], ['네 가능하세요']]",2022.08.28. 10:05
다이슨 에어랩 스타일러 컴플리트 롱  후기,​안녕하세요! 주말아침부터 날씨가 선선하니 너무 좋네요! ㅎㅎ오늘은 오랜만에 데이트하러 가야겠어요!이런날 꾸미고 싶을때 꼭 필요한! 다이슨 에어랩 스타일러 컴플리트 롱 추천드려요!​,"[['저도 완전 사고싶은데 아직 구매못했어오ㅠㅠ 머리결 일반 고데기보다 상하지 않는다고 하던데 부럽습니당'], ['다이슨써봤는데 이제 일상에서 없으면 불편한 제품이에요ㅎㅎ'], ['저두 엄청나게 힘들게 구매했숩니다 ㅠㅠ 뿌듯해용'], ['에어랩으루사야할지 그냥 드라이용으로 나온거 사야할지 고민돼여'], ['다이슨은 사면후회없다는 말을 들었어여..!? 미용사가 여유되면 사라하던데 ㅠㅠ'], ['진짜 힘들게 샀는데 드라이기로 쓰는 절 반성합니다 ㅋㅋㅋㅋㅋㅋ'], ['저도 요즘 관심가는 제품이에요ㅋㅋㅋ구매하신분들은   다들 만족하시더라구요ㅠㅠ'], ['다이슨 너무 좋아요!! 이거 없었을땐 어떻게 머리했나 몰라요'], ['다이슨 에어랩 구매를 매번 고민하게 되더라구요 가격이 만만치 않지만 사면 완전 만족할 것 같아용 부러워요'], ['저도 똥손인데 너무 잘쓰고있어요'], ['저는 아직 구매를 몬해써여....\U0001f979 다들 좋다고 강추하던데 사기가 어렵네요... ㅜㅜ'], ['머리가 기신가봐요! 저는 짧은 머리로 잘라서 다이슨이 사용횟수가 줄었어요 ㅠㅠㅎㅎ 그래도 다이슨 참 좋죠!!'], ['다이슨 있으면 삶의 질이 달라진다하더라구요 ㅎㅎ'], ['구하기어렵던데 ㅠㅠ 선물 사실때 힘드셨겠어용ㅎㅎ 다이슨 너무좋아여 이제필수템이에요!!'], ['저는 푸른색으로 가지고 있는데 활용도도 너무 높고 편하고 정말 신세계에용 ㅠㅠ 필수템입니당'], ['엇 저도 이거 구매하고싶네요 ㅎㅎ']]",2022.07.23. 09:05
LG 스타일러 오브제컬렉션(S5ROC) 후기입니다.,"저에게는 너무나 생소했던 가전.... 바로 스타일러에요!신혼가전 상담받으러 갔을 때 스타일러도 넣을까 생각했을만큼 ㅎㅎㅎ지금은 저희집 완전 필수잇가전입니다. ㅎ타사의류관리기와 비교했을 때 엘지가 먼저나왔고, 확실히 내구성이 좋은거 같더라구요 ㅎ저흰 5구짜리로 샀고, 3구샀음 내부공간 작아서 클났을뻔!!!겨울생각하면 특히 5구가 필수에요.그렇다고 5개 옷을 다 넣진 않고 보통 옷간격맞춰서 3벌 정도만 넣고 돌려요.미세먼지 많고 예민한 코시국이라 퇴근하고 오면 입고있던 옷들은 스타일러로 !!뽀송뽀송 스팀살균도 되서 너무 좋아요.기능을 보면 저흰 보통 고급으류나 스팀살균을 이용하는데 간단한 침구류도 살균되서 이번에 한번 시도해보려구요.스타일러는 전력등급?이 없는 제품이라 솔직히 고민을 했는데 전력소모가 엄청 크거나 하지 않았어요. 그리고 폰으로 연결도 되서 다 되면 띠링 알람도 울려요 ㅋㅋ","[['우와베이지인가요!!? 베이지도 넘 예쁘네요!'], ['역시 가전은 최신제품으로 사는게 맞는거 같아요'], ['스타일러 너무 좋지용 ㅎㅎ ㅠㅠ 오브제라서 그런지 너무 예쁘네용'], ['이번에 색상 진짜 잘 뽑았네요'], ['저 이번주에 LG견적받으러갈건데 품목에 이 제품 있어요! 후기 감사합니다ㅎㅎㅎ베이지 제가 생각한 색상이라 이뻐요!']]",2022.03.31. 21:44
"LG전자(TV,트롬워시타워,스타일러)판매","LG전자 미개봉 새상품 일괄판매합니다. ​*LG전자 TV 65인치OLED65A2MNA(2022년형)*LG전자 트롬워시타워 W20KDM(세탁기24kg+건조기20kg) -스페이스블랙*LG전자 오브제컬렉션스타일러  S3BOF ㅡ미스트베이지​-현재 TV는 인터넷 최저가 약230 워시타워 약310스타일러는 약 130인터넷 최저가 총 670정도에 판매하고 있습니다.​새아파트입주시 조합원품목으로 받게된 모두 미개봉 새상품이며,원하시는날짜 말씀해주시면(8월~10월중)LG전자 설치기사분이 직접가셔서 배송,설치해주십니다.  이런 기회 흔치 않으니, 새상품 싸게 ,그것도 LG전자 설치기사분이 직접설치해주시고 사용설명까지 해주십니다 ~언제든지 문의,사진등 가능하니 편히 말씀해주세요!​중간에 구매취소는 절대불가하며신중히 고민하신후 연락주세요.","[['연락처가없어요'], ['아 늦께 답변드려 정말 죄송합니다.지금 다른분과 거래중에 있는데 거래 불발시 연락드리겠습니다~ ']]",2022.08.29. 12:02
스타일러 - 실내제습,오늘 같이 꿉꿉한날엔 스타일러에 제습기능으로 습기제거해 주고 있어요~,"[['실내제습 좋네요^^ 그건 그냥 문 열어놓고 돌리면 되나요?제습능력은 좋을까요?급 땡기네요^^'], ['네~\n드레스룸 문들 다 열어 놓고 \n스타일러문 열어서 돌리니~\n물버림통에 물이 가득 차네요~\n\n'], ['와우^^ 좋으네요^^'], ['저도 올여름에 에어드레서로 방안습기 많이 잡는데 도움이 되었어요\n\n참 살기좋은 시대에요 요즘 ㅎㅎ'], [''], ['원래 있는 기능인가요? 아님 신형에 있는 건가요?구입한지 2년 됐는데...모르고 있네요 ㅠㅠ'], ['저희는 구입한지 4년 됐어요~\n맞춤건조 쪽 찾아보셔요'], ['네...감사합니다.'], ['저도 진짜 유용하게 써요'], [''], ['덕분에 저도 스타일러제습 돌리네요~~~\n향기도 나고 좋네요^^'], [''], ['참 유용한 스타일러~^^'], [''], ['저도 스타일러기능보다제습으로 올여름 잘썼어요^^'], ['']]",2022.08.23. 13:10
"lg 견적 참견 부탁드려요!!(TV, 냉장고, 워시타워, 스타일러, 청소기, 에어로타워)",TV : 21년형 65인치 C형냉장고 : 크래프트 얼음 생기는거스타일러 : 5구​LG전자 베스트샵에서 첫 견적 받아봤어요 ! 적정 가격일까요??,"[['아니요 !!!! 비싸요!!!!'], ['헉 비싼편이군요 ㅠㅠ'], ['에어로 타워는 빼시고 구매하시고 포인트가 들어오면 포인트로 에어로타워를 구매하세요혼수 할인을 받아서 ㅎ발품 파시면 저렴한데가 분명히 있을 꺼에요 ㅎ인터넷 가입도 따로 알아보세요 더 많은 혜택을 받으실 수 있어요 못해도 70만원'], ['인터넷 가입 47 받았어용\n에어로타워 넣은게 1500넘기려고 넣었거든요 ㅎㅎ 아직 한군데밖에 안가봤으니.. 역시 발품이 답이겠군요ㅠㅠ'], ['네 베샵 판매자로써 비싼 거 같아요 발품 파시면 제가 예기한 대로 파는 데 있을 꺼에요 ㅎㅎ'], ['이정도면 금액이 비싼거군요 ㅠㅠ'], ['엘지는 할인율이 많지않은것같더라구요 ..']]",2022.08.10. 15:36
